deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Medium Org Defense,Blue Team,Medium Org,1,well,Asset,Infrastructure,Green,,1,1,3,Generates 1 Infrastructure resource each turn. If damaged Blue Team loses 1 SCP.,The well is where the service starts.,Wells are critical physical assets in water systems.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,water tower,Asset,Infrastructure,Green,,1,1,3,Generates 1 Infrastructure resource each turn. If damaged Blue Team loses 2 SCP.,Pressure and storage matter.,Water towers affect service pressure and community impact.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,pump station,Asset,Infrastructure,Green,,1,1,4,Once per turn move 1 Defense from this Asset to another Infrastructure Asset.,Every path needs movement.,Pump stations support distribution and recovery.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,chlorination unit,Asset,Infrastructure,Green,,1,1,4,If damaged discard 1 card unless Field Tech or Water Quality Monitor is active.,Safety depends on treatment.,Chemical treatment systems have direct public safety impact.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,RTU/PLC,Asset,Infrastructure,Green,,1,1,3,Protocol cards attached to this Asset cost 1 less to play.,Small controllers carry big consequences.,RTUs and PLCs bridge cyber systems and physical operations.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Gateway,Asset,Infrastructure,Green,,1,1,3,The first Internet Attack against this Asset each game deals 1 less damage.,The bridge needed a guardrail.,Gateways need monitoring and hardening.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Access Point,Asset,Infrastructure,Green,,1,1,3,If an Operator is active this Asset gains plus 1 Defense.,A wireless path became a checkpoint.,Wireless access must be secured and monitored.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Engineering Workstation,Asset,Infrastructure,Green,,2,1,3,Tools cost 1 less to play while this Asset is active.,Engineering knowledge keeps systems running.,Engineering workstations need strong controls.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Treatment Plant,Asset,Infrastructure,Green,,2,1,5,When defended by OT Engineer this Asset gains plus 2 Defense.,The plant is the heart of operations.,Treatment plants combine cyber and physical risk.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,SCADA Web Interface,Asset,Infrastructure,Green,,2,1,3,If attacked from Internet look at the top 2 Red Team cards and reorder them.,A dashboard became a target.,SCADA interfaces require access control and monitoring.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Operator Laptop,Asset,Infrastructure,Green,,2,1,3,If Password Reset or MFA is active reduce Credential Attack damage by 1.,The operator device carried trust.,Operator endpoints need strong identity protection.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Enterprise Firewall,Asset,Infrastructure,Green,,2,1,4,Internet Attacks against Infrastructure Assets cost Red Team 1 additional resource.,The perimeter grew into a checkpoint.,Enterprise firewalls reduce opportunistic paths.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Billing Database,Asset,Infrastructure,Green,,2,1,3,If damaged draw 1 card then discard 1 card.,Records became part of the risk.,Business systems can affect response and trust.,Common,Draft
