deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Hacktivist Attack,Red Team,Hacktivist,2,Public Records Dump,Attack,Internet,Blue,Recon,1,1,1,Look at Blue Team hand. Choose one Asset card and reveal it.,Public information became pressure.,Hacktivists often use open-source information to identify targets and narratives.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,2,Social Media Callout,Attack,Internet,Blue,Recon,1,1,1,Blue Team discards 1 card unless they control SOC Analyst or Network Monitoring.,The hashtag moved faster than the help desk.,Public pressure can distract response teams during real incidents.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,2,Phishing Campaign,Attack,Internet,Blue,Delivery,2,2,1,Disable one Operator until Blue Team next turn unless Blue Team discards 1 card.,The message looked urgent enough to click.,Phishing can delay operations and compromise staff accounts.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,2,Credential Stuffing,Attack,Application,White/Grey,Exploit,2,2,1,Deal 2 damage to SCADA Web Interface Email Server or Operator Laptop. MFA reduces this by 2.,Old passwords found new doors.,Credential reuse can expose remote access email and business systems.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Default Password List,Attack,Application,White/Grey,Exploit,1,2,1,If RTU/PLC Gateway or Access Point is active deal 2 damage to it unless Password Reset is active.,The easiest guess was never changed.,Default credentials are a common weakness in exposed devices.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,2,Web Defacement,Attack,Internet,Blue,Exploit,2,2,1,Deal 2 damage to SCADA Web Interface or Email Server. If successful Blue Team loses 1 SCP.,The front page became the protest sign.,Defacement may signal deeper access or create public trust issues.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Data Leak Threat,Attack,Internet,Blue,Actions on Objectives,3,3,1,If Billing Database is damaged Blue Team loses 2 SCP. Otherwise deal 1 damage to Billing Database.,The warning arrived before the proof.,Leak threats create pressure even when full impact is not proven.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Crowd-Sourced Recon,Tool,Internet,Blue,Recon,1,1,1,Draw 1 card. If Public Records Dump is in discard draw 2 then discard 1.,A crowd can map a target quickly.,Distributed research can speed up target discovery.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Paste Site Drop,Tool,Internet,Blue,Delivery,1,1,1,Return Public Records Dump or Data Leak Threat from discard to hand.,The link spread before anyone verified it.,Paste sites and public posts can amplify disruption.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Anonymous VPN,Tool,Internet,Blue,Recon,1,1,1,The next Recon card costs 1 less and cannot be canceled by Port Closure.,Attribution blurred at the edge.,Anonymization makes source blocking and attribution harder.,Common,Draft
