deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status,source_note
Medium Org Defense,Blue Team,Medium Org,1,Well,Asset,Infrastructure,Green,Reinforce,1,,3,"At the start of your turn, generate 1 Infrastructure resource. If this Asset is destroyed, Blue Team loses 1 SCP.","The smallest source can become the most important asset.","Wells are critical physical assets that should be included in cyber and operational risk planning.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,Water Tower,Asset,Infrastructure,Green,Reinforce,2,,5,"Scenario Asset. At the end of turn 6, if this Asset is active, Blue Team gains 2 SCP.","Public pressure rises when the tower is at risk.","Water storage assets connect cyber events to visible community impact.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,Pump Station,Asset,Infrastructure,Green,Recover,2,,4,"Once per turn, move 1 Defense counter from this Asset to another Infrastructure Asset.","Flow control is resilience in motion.","Pump stations are operational choke points and should be protected as critical assets.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,Chlorination Unit,Asset,Infrastructure,Green,Reinforce,2,,4,"The first time this Asset takes damage each turn, discard 1 card unless Field Technician or Infrastructure Engineer is active.","Safety depends on more than uptime.","Chemical treatment systems require strong monitoring because integrity failures can affect safety.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,RTU/PLC,Asset,Infrastructure,Green,Reinforce,1,,3,"Protocol cards attached to this Asset cost 1 less resource to play.","Small controllers carry big consequences.","RTUs and PLCs bridge cyber systems and physical operations in ICS environments.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,Gateway,Asset,Network,Black,Detect/Reinforce,1,,3,"The first Internet Attack against this Asset deals 1 less damage.","Every path in needs a guardrail.","Gateways and remote access paths should be monitored and hardened.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,Access Point,Asset,Network,Black,Reinforce,2,,3,"If Network Monitoring is active, the first Network Attack against this Asset each turn deals 1 less damage.","The wireless edge is still part of the plant.","Wireless access points should be inventoried, segmented, and monitored because they can bridge IT and OT environments.",Common,Draft,Medium-only card.
Medium Org Defense,Blue Team,Medium Org,1,Engineering Workstation,Asset,Endpoint,Red,Reinforce,2,,4,"When you play a Protocol card, you may restore 1 Defense counter to one Infrastructure Asset.","Engineering access changes real-world behavior.","Engineering workstations are high-value systems because they can view or modify industrial control logic and configurations.",Common,Draft,Medium-only card.
Medium Org Defense,Blue Team,Medium Org,1,Treatment Plant,Asset,Infrastructure,Green,Reinforce,3,,6,"Scenario Asset. At the end of turn 8, if this Asset is active, Blue Team gains 3 SCP. If destroyed, Blue Team loses 2 SCP.","The plant is where cyber becomes public safety.","Treatment plants concentrate operational risk and should receive layered protection, monitoring, and recovery planning.",Common,Draft,Medium-only card.
Medium Org Defense,Blue Team,Medium Org,1,SCADA Web Interface,Asset,Application,White/Grey,Detect,2,,3,"If revealed by Recon, Red Team may draw 1 card unless MFA is active.","A useful dashboard can become a useful target.","Exposed SCADA interfaces increase risk when authentication and access control are weak.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,Operator Laptop,Asset,Endpoint,Red,Respond,1,,2,"If an Operator is active, this Asset gains +1 Defense.","The laptop is small. The access is not.","Operator endpoints often become high-value targets because they touch operational systems.",Common,Draft,Shared card from Small Org; keep text/cost consistent.
Medium Org Defense,Blue Team,Medium Org,1,Enterprise Firewall,Asset,Network,Black,Reinforce,3,,5,"Internet Attacks cost Red Team 1 additional resource. If IDS is active, Network Attacks against this Asset deal 1 less damage.","Segmentation buys time.","Firewalls and segmentation reduce attacker movement between enterprise IT and operational environments.",Common,Draft,Medium-only card.
Medium Org Defense,Blue Team,Medium Org,1,Billing Database,Asset,Application,White/Grey,Respond,2,,4,"Credential Attacks against this Asset deal +1 damage unless MFA is active. If damaged, Blue Team discards 1 card.","Customer data became operational pressure.","Business systems can affect utility operations through billing, communications, and customer trust.",Common,Draft,Medium-only card.
