deck_name,side,card_id,card_name,copies,role,notes
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-001,Well,1,Asset,Infrastructure resource asset
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-002,Water Tower,1,Asset,Scenario-critical asset
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-003,Pump Station,1,Asset,Operational movement and support
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-004,Chlorination Unit,1,Asset,High-value safety asset
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-005,RTU or PLC,1,Asset,Controller asset
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-006,Gateway,1,Asset,Remote access path
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-007,Operator Laptop,1,Asset,Endpoint risk asset
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-008,Basic Firewall,1,Asset,Network protection asset
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-009,SCADA Web Interface,1,Asset,Application exposure asset
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-010,Password Reset,1,Defense,Credential recovery
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-011,Basic MFA,1,Defense,Credential protection
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-012,Vendor Support Contract,1,Defense,Recovery support
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-013,Port Closure,1,Defense,Recon/network counter
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-014,Port Scanner,1,Tool,Defensive scan
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-015,Deep Packet ICS Monitor,1,Tool,Advanced detect
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-016,Antivirus,1,Tool,Malware counter
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-017,Modbus TCP,1,Protocol,Legacy ICS protocol risk
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-018,Port 23,1,Protocol,Legacy exposure
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-019,Telnet,1,Protocol,Insecure remote protocol
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-020,Port 80,1,Protocol,Web exposure
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-021,HTTP,1,Protocol,Plain web access
Small Utility 32 vs Script Kiddie 32,Blue Team,ICS-WATER-SB-022,IT Admin,1,Operator,Network defense operator
