card_id,edition,card_name,team,tier,card_type,realm,color,cost,attack_points,defense_points,lifecycle_stage,rules_text,flavor_text,learning_note,rarity,status
ICS-WATER-SB-A001,ICS-WATER,Well,Blue Team,Small Org,Asset,Infrastructure,Green,1,,3,Reinforce,"Generates 1 Infrastructure resource each turn. If destroyed, Blue Team loses 1 SCP.","The smallest source can become the most important asset.","Wells are critical physical assets that should be included in cyber and operational risk planning.",Common,Draft
ICS-WATER-SB-A002,ICS-WATER,Water Tower,Blue Team,Small Org,Asset,Infrastructure,Green,2,,5,Reinforce,"Scenario Asset: if this survives through turn 6, Blue Team gains 2 SCP.","Public pressure rises when the tower is at risk.","Water storage assets connect cyber events to visible community impact.",Rare,Draft
ICS-WATER-SB-A003,ICS-WATER,Pump Station,Blue Team,Small Org,Asset,Infrastructure,Green,2,,4,Recover,"Once per turn, move 1 Defense from this Asset to another Infrastructure Asset.","Flow control is resilience in motion.","Pump stations are operational choke points and should be protected as critical assets.",Uncommon,Draft
ICS-WATER-SB-A004,ICS-WATER,Chlorination Unit,Blue Team,Small Org,Asset,Infrastructure,Green,2,,4,Reinforce,"If damaged by an Attack, discard 1 card unless Field Technician or Infrastructure Engineer is active.","Safety depends on more than uptime.","Chemical treatment systems require strong monitoring because integrity failures can affect safety.",Rare,Draft
ICS-WATER-SB-A005,ICS-WATER,RTU or PLC,Blue Team,Small Org,Asset,Infrastructure,Green,1,,3,Reinforce,"Protocol cards attached to this Asset cost 1 less to play.","Small controllers carry big consequences.","RTUs and PLCs bridge cyber systems and physical operations in ICS environments.",Common,Draft
ICS-WATER-SB-A006,ICS-WATER,Gateway,Blue Team,Small Org,Asset,Network,Black,1,,3,Detect/Reinforce,"The first Internet Attack against this Asset each game deals 1 less damage.","Every path in needs a guardrail.","Gateways and remote access paths should be monitored and hardened.",Common,Draft
ICS-WATER-SB-A007,ICS-WATER,Operator Laptop,Blue Team,Small Org,Asset,Endpoint,Red,1,,2,Respond,"If an Operator is active, this Asset gains +1 Defense.","The laptop is small. The access is not.","Operator endpoints often become high-value targets because they touch operational systems.",Common,Draft
ICS-WATER-SB-A008,ICS-WATER,Basic Firewall,Blue Team,Small Org,Asset,Network,Black,2,,4,Reinforce,"Internet Attacks cost Red Team 1 additional resource while this Asset is active.","A basic wall is still a wall.","Even simple perimeter controls can reduce opportunistic attacks when configured properly.",Uncommon,Draft
ICS-WATER-SB-A009,ICS-WATER,SCADA Web Interface,Blue Team,Small Org,Asset,Application,White/Grey,2,,3,Detect,"If revealed by Recon, Red Team may draw 1 card unless MFA is active.","A useful dashboard can become a useful target.","Exposed SCADA interfaces increase risk when authentication and access control are weak.",Uncommon,Draft
ICS-WATER-SB-A010,ICS-WATER,Password Reset,Blue Team,Small Org,Defense,Endpoint,Red,1,,2,Respond/Recover,"Cancel one Credential Attack or restore 2 Defense to one Operator or Endpoint Asset.","Regaining control starts with the account.","Account recovery is part of containment when credentials are suspected to be compromised.",Common,Draft
ICS-WATER-SB-A011,ICS-WATER,MFA,Blue Team,Small Org,Defense,Internet,Blue,2,,3,Reinforce,"Cancel the bonus effect of one Credential or Remote Access Attack. Reduce that Attack damage by 1.","One extra step can close an easy door.","MFA helps reduce risk from guessed, reused, or stolen credentials.",Uncommon,Draft
ICS-WATER-SB-A012,ICS-WATER,Vendor Support Contract,Blue Team,Small Org,Defense,Infrastructure,Green,2,,2,Recover,"Restore 2 Defense to one damaged Infrastructure Asset. If Gateway is active, draw 1 card.","Help is valuable when the access is controlled.","Vendor support can aid recovery but should be governed and reviewed.",Uncommon,Draft
ICS-WATER-SB-A013,ICS-WATER,Port Closure,Blue Team,Small Org,Defense,Network,Black,1,,2,Respond/Reinforce,"Cancel one Recon card or reduce one Network Attack by 2 damage.","Closed ports tell fewer stories.","Reducing unnecessary exposed services limits attacker options.",Common,Draft
ICS-WATER-SB-A014,ICS-WATER,Port Scanner,Blue Team,Small Org,Tool,Network,Black,1,,,Detect,"Reveal one face-down or unrevealed Red Team card. If it is Recon, draw 1 card.","Defenders can scan too.","Authorized scanning helps validate exposure and find services before attackers do.",Common,Draft
ICS-WATER-SB-A015,ICS-WATER,Deep Packet ICS Monitor,Blue Team,Small Org,Tool,Infrastructure,Green + Black,"2 (1 Network + 1 Infrastructure)",,,Detect,"Look at the top 3 Red Team cards. You may discard one Attack or Command card that targets Infrastructure.","The packet tells the story before the process does.","ICS-aware monitoring helps identify suspicious protocol behavior and operational anomalies.",Rare,Draft
ICS-WATER-SB-A016,ICS-WATER,Antivirus,Blue Team,Small Org,Tool,Endpoint,Red,1,,,Respond/Recover,"Remove one Malware or Remote Access Tool effect from an Endpoint Asset or reduce Malware damage by 2.","Basic protection is better than wishful thinking.","Endpoint protection can reduce common malware risk but should not be the only control.",Common,Draft
ICS-WATER-SB-A017,ICS-WATER,Modbus Protocol,Blue Team,Small Org,Protocol,Infrastructure,Green,1,,1,Reinforce,"Attach to RTU or PLC. That Asset gains +1 Defense but takes +1 damage from Recon-followed Attacks.","Simple protocols need careful boundaries.","Legacy ICS protocols may lack modern security features and require compensating controls.",Common,Draft
ICS-WATER-SB-A018,ICS-WATER,Port 23,Blue Team,Small Org,Protocol,Network,Black,0,,1,Reinforce,"Legacy risk: while active, Remote Terminal Protocol costs 0. Red Team Attacks against this card deal +1 damage.","The old door is still a door.","Legacy services should be removed, restricted, or monitored because they create avoidable exposure.",Common,Draft
ICS-WATER-SB-A019,ICS-WATER,Remote Terminal Protocol,Blue Team,Small Org,Protocol,Internet,Blue,0,,1,Reinforce,"Attach to a Legacy Asset. Red Team Credential Attacks against that Asset deal +1 damage.","Convenience aged into risk.","Insecure remote protocols should not be exposed and should be replaced with safer alternatives.",Common,Draft
ICS-WATER-SB-A020,ICS-WATER,Port 80,Blue Team,Small Org,Protocol,Network,Black,0,,1,Reinforce,"If attached to SCADA Web Interface, Public Info Gathering or Network Scan reveals that Asset automatically.","Plain access makes plain targets.","Unencrypted or exposed web services can reveal sensitive operational surfaces.",Common,Draft
ICS-WATER-SB-A021,ICS-WATER,Plain Web Protocol,Blue Team,Small Org,Protocol,Internet,Blue,0,,1,Reinforce,"Attach to an Application Asset. That Asset costs 1 less to play but takes +1 damage from Internet Attacks.","Easy access has a cost.","Plain web access can create visibility and integrity risks when used for sensitive systems.",Common,Draft
ICS-WATER-SB-A022,ICS-WATER,IT Admin,Blue Team,Small Org,Operator,Network,Black,2,,3,Respond,"Once per turn, reduce Network Attack damage by 1.","Someone has to know where the cables go.","IT administrators support segmentation, account control, and response during incidents.",Uncommon,Draft
ICS-WATER-SB-A023,ICS-WATER,Field Technician,Blue Team,Small Org,Operator,Infrastructure,Green,1,,2,Recover,"Restore 1 Defense to one Infrastructure Asset each turn.","Boots on the ground keep water moving.","Field staff are essential to physical validation and manual recovery during cyber incidents.",Common,Draft
