deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Hacktivist Attack,Red Team,Hacktivist,1,Network Scan,Attack,Network,Black,Recon,1,1,,Reveal up to 2 Blue Team Assets. If Gateway or SCADA Web Interface is revealed draw 1 card.,Port scanning helps attackers identify exposed services and reachable systems.,Reconnaissance gives attackers context for choosing targets and attack paths.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Public Info Gathering,Attack,Internet,Blue,Recon,1,1,,Look at Blue Team's hand. Choose one Asset card from it. Blue Team reveals that card until it is played or discarded.,Public clues become private pressure.,Public information can help attackers understand technology vendors staff and exposed systems.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Downloaded Exploit,Attack,Endpoint,Red,Weaponize/Exploit,2,3,,Deal 3 damage to one Asset. If Network Scan or Public Info Gathering was played this turn deal +1 damage.,Low-skill attackers can cause real impact when public exploit code matches exposed systems.,Public exploit code can turn known weaknesses into practical attacks.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Pre Built Malware Package,Attack,Endpoint,Red,Weaponize/Install,2,2,,Attach to an Endpoint Asset. At the start of Red Team's turn that Asset takes 1 damage.,Commodity malware can create recurring impact when endpoint containment is delayed.,Pre-built malware lowers attacker skill requirements and can persist if not contained.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Phishing Campaign,Attack,Internet,Blue,Delivery,2,2,,Disable one Operator until Blue Team's next turn unless Blue Team discards 1 card.,The first click was human.,Phishing often targets staff access and can delay operational response.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Malicious Link,Attack,Internet,Blue,Delivery,1,2,,Deal 2 damage to Operator Laptop or SCADA Web Interface. If Phishing Campaign was played this game draw 1 card.,One link moved the incident forward.,Malicious links are common delivery methods for credential theft and malware.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Malicious Attachment,Attack,Endpoint,Red,Delivery/Install,1,2,,Deal 2 damage to Operator Laptop. If damaged you may play Pre Built Malware Package for 1 less this turn.,The file looked routine until it ran.,Attachments can deliver payloads that affect user workstations and operational access.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Vulnerability Exploit,Attack,Application,White/Grey,Exploit,2,3,,Deal 3 damage to SCADA Web Interface Gateway or RTU or PLC. Port Closure reduces this damage by 2.,The weakness was known before the attack.,Known vulnerabilities become dangerous when systems remain exposed or unpatched.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Credential Attack,Attack,Application,White/Grey,Exploit,2,3,,Deal 3 damage. MFA cancels this card's damage bonus and reduces damage by 1.,The account became the entry point.,Credential abuse is a common path into remote and operational systems.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Password Spray,Attack,Application,White/Grey,Exploit,2,2,,Deal 2 damage. If MFA is not active disable one Operator until Blue Team's next turn.,One weak password can slow a whole team.,Password spraying abuses weak or reused credentials across accounts.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Remote Access Tool,Tool,Endpoint,Red,Install/C2,3,2,,Attach to Operator Laptop or SCADA Web Interface after it is damaged. Red Team's next Network attack against that Asset costs 1 less.,Remote access turned damage into control.,Remote access malware or tooling can help attackers maintain access after initial compromise.,Common,Draft
