card_id,edition,card_name,team,tier,card_type,realm,color,cost,attack_points,defense_points,lifecycle_stage,rules_text,flavor_text,learning_note,rarity,status
ICS-WATER-SR-A001,ICS-WATER,NMAP,Red Team,Script Kiddie,Attack,Network,Black,1,1,,Recon,"Reveal up to 2 Blue Team Assets. If Gateway or SCADA Web Interface is revealed, draw 1 card.","The scan came before the splash.","Port scanning helps attackers identify exposed services and reachable systems before exploitation.",Common,Draft
ICS-WATER-SR-A002,ICS-WATER,OSINT,Red Team,Script Kiddie,Attack,Internet,Blue,1,1,,Recon,"Look at Blue Team's hand. Choose one Asset card from it; Blue Team reveals that card until it is played or discarded.","Public clues become private pressure.","Public information can help attackers understand technology, vendors, staff, and exposed systems.",Common,Draft
ICS-WATER-SR-A003,ICS-WATER,Downloaded Exploit,Red Team,Script Kiddie,Attack,Endpoint,Red,2,3,,Weaponize/Exploit,"Deal 3 damage to one Asset. If NMAP or OSINT was played this turn, deal +1 damage.","Copied code still breaks real things.","Low-skill attackers can cause real impact when public exploit code matches exposed systems.",Common,Draft
ICS-WATER-SR-A004,ICS-WATER,Pre Built Malware Package,Red Team,Script Kiddie,Attack,Endpoint,Red,2,2,,Weaponize/Install,"Attach to an Endpoint Asset. At the start of Red Team's turn, that Asset takes 1 damage. Antivirus removes this card.","The package was cheap. The outage was not.","Commodity malware can create recurring impact when endpoint containment is delayed.",Uncommon,Draft
ICS-WATER-SR-A005,ICS-WATER,Phishing Campaign,Red Team,Script Kiddie,Attack,Internet,Blue,2,2,,Delivery,"Disable one Operator until Blue Team's next turn unless Blue Team discards 1 card.","The first click was human.","Phishing often targets staff access and can delay operational response.",Uncommon,Draft
ICS-WATER-SR-A006,ICS-WATER,Malicious Link,Red Team,Script Kiddie,Attack,Internet,Blue,1,2,,Delivery,"Deal 2 damage to Operator Laptop or SCADA Web Interface. If Phishing Campaign was played this game, draw 1 card.","One link moved the incident forward.","Malicious links are common delivery methods for credential theft and malware.",Common,Draft
ICS-WATER-SR-A007,ICS-WATER,Malicious Attachment,Red Team,Script Kiddie,Attack,Endpoint,Red,1,2,,Delivery/Install,"Deal 2 damage to Operator Laptop. If it is damaged, you may play Pre Built Malware Package for 1 less this turn.","The file looked routine until it ran.","Attachments can deliver payloads that affect user workstations and operational access.",Common,Draft
ICS-WATER-SR-A008,ICS-WATER,Vuln Exploit,Red Team,Script Kiddie,Attack,Application,White/Grey,2,3,,Exploit,"Deal 3 damage to SCADA Web Interface, Gateway, or RTU or PLC. Port Closure reduces this damage by 2.","The weakness was known before the attack.","Known vulnerabilities become dangerous when systems remain exposed or unpatched.",Common,Draft
ICS-WATER-SR-A009,ICS-WATER,Cred Attack,Red Team,Script Kiddie,Attack,Application,White/Grey,2,3,,Exploit,"Deal 3 damage. MFA cancels this card's damage bonus and reduces damage by 1.","The account became the entry point.","Credential abuse is a common path into remote and operational systems.",Common,Draft
ICS-WATER-SR-A010,ICS-WATER,Spray Attack,Red Team,Script Kiddie,Attack,Application,White/Grey,2,2,,Exploit,"Deal 2 damage. If MFA is not active, disable one Operator until Blue Team's next turn.","One weak password can slow a whole team.","Password spraying abuses weak or reused credentials across accounts.",Common,Draft
