card_id,edition,card_name,team,tier,card_type,realm,color,cost,attack_points,defense_points,rules_text,flavor_text,learning_note,rarity,status
ICS-WATER-SB-001,ICS-WATER,Well,Blue Team,Small Utility,Asset,Infrastructure,Green,1,,3,"Generates 1 Infrastructure resource each turn. If destroyed, Blue Team loses 1 SCP.","The smallest source can become the most important asset.","Wells are critical physical assets that should be included in cyber and operational risk planning.",Common,Draft
ICS-WATER-SB-002,ICS-WATER,Water Tower,Blue Team,Small Utility,Asset,Infrastructure,Green,2,,5,"If this Asset survives until turn 6 during a scenario, Blue Team gains 2 SCP.","Public pressure rises when the tower is at risk.","Water storage assets connect cyber events to visible community impact.",Rare,Draft
ICS-WATER-SB-003,ICS-WATER,Pump Station,Blue Team,Small Utility,Asset,Infrastructure,Green,2,,4,"Once per turn, you may move 1 Defense from this Asset to another Infrastructure Asset.","Flow control is resilience in motion.","Pump stations are operational choke points and should be protected as critical assets.",Uncommon,Draft
ICS-WATER-SB-004,ICS-WATER,Chlorination Unit,Blue Team,Small Utility,Asset,Infrastructure,Green,2,,4,"If damaged by an Attack, Blue Team must discard 1 card unless Water Quality Monitor is active.","Safety depends on more than uptime.","Chemical treatment systems require strong monitoring because integrity failures can affect safety.",Rare,Draft
ICS-WATER-SB-005,ICS-WATER,RTU or PLC,Blue Team,Small Utility,Asset,Infrastructure,Green,1,,3,"Protocol cards attached to this Asset cost 1 less to play.","Small controllers carry big consequences.","RTUs and PLCs bridge cyber systems and physical operations in ICS environments.",Common,Draft
ICS-WATER-SB-006,ICS-WATER,Gateway,Blue Team,Small Utility,Asset,Network,Black,1,,3,"The first Internet Attack against this Asset each game deals 1 less damage.","Every path in needs a guardrail.","Gateways and remote access paths should be monitored and hardened.",Common,Draft
ICS-WATER-SB-007,ICS-WATER,Operator Laptop,Blue Team,Small Utility,Asset,Endpoint,Red,1,,2,"If an Operator is active, this Asset gains +1 Defense.","The laptop is small. The access is not.","Operator endpoints often become high-value targets because they touch operational systems.",Common,Draft
ICS-WATER-SB-008,ICS-WATER,Basic Firewall,Blue Team,Small Utility,Asset,Network,Black,1,,4,"Generic circle cost 1. Internet Attacks cost Red Team 1 additional resource while this Asset is active.","A basic wall is still a wall.","Even simple perimeter controls can reduce opportunistic attacks when configured properly.",Uncommon,Draft
ICS-WATER-SB-009,ICS-WATER,SCADA Web Interface,Blue Team,Small Utility,Asset,Application,White/Grey,2,,3,"If this Asset is revealed by Recon, Red Team may draw 1 card unless MFA Rollout is active.","A useful dashboard can become a useful target.","Exposed SCADA interfaces increase risk when authentication and access control are weak.",Uncommon,Draft
ICS-WATER-SB-010,ICS-WATER,Password Reset,Blue Team,Small Utility,Defense,Endpoint,Red,1,,2,"Cancel one Credential Attack or restore 2 Defense to one Operator or Endpoint Asset.","Regaining control starts with the account.","Account recovery is part of containment when credentials are suspected to be compromised.",Common,Draft
ICS-WATER-SB-011,ICS-WATER,Basic MFA,Blue Team,Small Utility,Defense,Internet,Blue,2,,3,"Cancel the bonus effect of one Credential or Remote Access Attack.","One extra step can close an easy door.","MFA helps reduce risk from guessed, reused, or stolen credentials.",Uncommon,Draft
ICS-WATER-SB-012,ICS-WATER,Vendor Support Contract,Blue Team,Small Utility,Defense,Infrastructure,Green,2,,2,"Restore 2 Defense to one damaged Infrastructure Asset. If Vendor Access Review is active, draw 1 card.","Help is valuable when the access is controlled.","Vendor support can aid recovery but should be governed and reviewed.",Uncommon,Draft
ICS-WATER-SB-013,ICS-WATER,Port Closure,Blue Team,Small Utility,Defense,Network,Black,1,,2,"Cancel one Recon card or reduce one Network Attack by 2 damage.","Closed ports tell fewer stories.","Reducing unnecessary exposed services limits attacker options.",Common,Draft
ICS-WATER-SB-014,ICS-WATER,Port Scanner,Blue Team,Small Utility,Tool,Network,Black,1,,,"Reveal one face-down or unrevealed Red Team card. If it is Recon, draw 1 card.","Defenders can scan too.","Authorized scanning helps validate exposure and find services before attackers do.",Common,Draft
ICS-WATER-SB-015,ICS-WATER,Deep Packet ICS Monitor,Blue Team,Small Utility,Tool,Infrastructure,Green,3,,,"Look at the top 3 Red Team cards. You may discard one Attack that targets Infrastructure.","The packet tells the story before the process does.","ICS-aware monitoring helps identify suspicious protocol behavior and operational anomalies.",Rare,Draft
ICS-WATER-SB-016,ICS-WATER,Antivirus,Blue Team,Small Utility,Tool,Endpoint,Red,1,,,"Remove one Malware effect from an Endpoint Asset or reduce Malware damage by 2.","Basic protection is better than wishful thinking.","Endpoint protection can reduce common malware risk but should not be the only control.",Common,Draft
ICS-WATER-SB-017,ICS-WATER,Modbus TCP,Blue Team,Small Utility,Protocol,Infrastructure,Green,1,,1,"Attach to RTU or PLC. That Asset gains +1 Defense but takes +1 damage from Recon-followed Attacks.","Simple protocols need careful boundaries.","Legacy ICS protocols may lack modern security features and require compensating controls.",Common,Draft
ICS-WATER-SB-018,ICS-WATER,Port 23,Blue Team,Small Utility,Protocol,Network,Black,0,,1,"Legacy risk: while active, Telnet costs 0. Red Team Attacks against this card deal +1 damage.","The old door is still a door.","Legacy services should be removed, restricted, or monitored because they create avoidable exposure.",Common,Draft
ICS-WATER-SB-019,ICS-WATER,Telnet,Blue Team,Small Utility,Protocol,Internet,Blue,0,,1,"Attach to a Legacy Asset. Red Team Credential Attacks against that Asset deal +1 damage.","Convenience aged into risk.","Insecure remote protocols should not be exposed and should be replaced with safer alternatives.",Common,Draft
ICS-WATER-SB-020,ICS-WATER,Port 80,Blue Team,Small Utility,Protocol,Network,Black,0,,1,"If attached to SCADA Web Interface, Internet Exposure Search reveals that Asset automatically.","Plain access makes plain targets.","Unencrypted or exposed web services can reveal sensitive operational surfaces.",Common,Draft
ICS-WATER-SB-021,ICS-WATER,HTTP,Blue Team,Small Utility,Protocol,Internet,Blue,0,,1,"Attach to an Application Asset. That Asset costs 1 less to play but takes +1 damage from Internet Attacks.","Easy access has a cost.","Plain HTTP can create visibility and integrity risks when used for sensitive systems.",Common,Draft
ICS-WATER-SB-022,ICS-WATER,IT Admin,Blue Team,Small Utility,Operator,Network,Black,1,,3,"Once per turn, reduce Network Attack damage by 1.","Someone has to know where the cables go.","IT administrators support segmentation, account control, and response during incidents.",Uncommon,Draft
ICS-WATER-SB-023,ICS-WATER,Field Technician,Blue Team,Small Utility,Operator,Infrastructure,Green,2,,2,"Restore 1 Defense to one Infrastructure Asset each turn.","Boots on the ground keep water moving.","Field staff are essential to physical validation and manual recovery during cyber incidents.",Common,Draft
ICS-WATER-SB-024,ICS-WATER,Infrastructure Engineer,Blue Team,Small Utility,Operator,Infrastructure,Green,3,,4,"When you play a Protocol card, restore 1 Defense to one Infrastructure Asset.","Design matters most when things break.","Engineering knowledge helps defenders understand dependencies and safe restoration steps.",Rare,Draft
ICS-WATER-SB-025,ICS-WATER,Operations Budget,Blue Team,Small Utility,Realm,Infrastructure,Green,0,,,"Provides 1 Infrastructure resource.","Keeping the lights on is a strategy.","Operations funding supports routine maintenance and daily resilience.",Common,Draft
ICS-WATER-SB-026,ICS-WATER,Capital Funding,Blue Team,Small Utility,Realm,Infrastructure,Green,0,,,"Provides 1 Infrastructure resource. If used for an Asset, that Asset enters with +1 Defense.","Big upgrades start with rare funding.","Capital funding helps replace or improve critical systems.",Uncommon,Draft
ICS-WATER-SB-027,ICS-WATER,Federal Assistance,Blue Team,Small Utility,Realm,Infrastructure,Green,0,,,"Provides 1 resource of any realm/color.","Help arrives when preparation meets need.","External funding and assistance can improve recovery and resilience for small utilities.",Rare,Draft
ICS-WATER-SB-028,ICS-WATER,Network Maintenance Budget,Blue Team,Small Utility,Realm,Network,Black,0,,,"Provides 1 Infrastructure resource OR 1 Network resource.","Maintenance keeps the pipes and packets moving.","Small utilities often share funding between operational infrastructure and network upkeep.",Common,Draft
