card_id,edition,card_name,team,tier,card_type,realm,cost,attack_points,defense_points,rules_text,flavor_text,learning_note,rarity,status
ICS-WATER-001,ICS-WATER,Community Water Utility,Blue Team,Small Utility,Asset,Infrastructure,1,,4,"Generates 1 Infrastructure resource each turn. If destroyed, Blue Team loses 2 SCP.","Small utilities carry big responsibility.","Water utilities often operate with limited staff and budget while supporting critical public services.",Common,Draft
ICS-WATER-002,ICS-WATER,Unsupported HMI,Blue Team,Small Utility,Asset,Infrastructure,1,,2,"If attacked by Malware or Remote Access, this Asset takes 1 additional damage.","The screen still works. The warranty does not.","Unsupported HMI systems can increase operational risk when patches and vendor support are unavailable.",Common,Draft
ICS-WATER-003,ICS-WATER,On-Call Operator,Blue Team,Small Utility,Operator,Endpoint,2,,3,"When an Infrastructure Asset would be destroyed, reduce that damage by 2.","One alert. One phone call. One chance to stop it.","Human operators are critical to detection, response, and operational continuity.",Uncommon,Draft
ICS-WATER-004,ICS-WATER,Manual Override,Blue Team,Small Utility,Defense,Infrastructure,2,,4,"Prevent all damage to one Pump, Valve, Chlorination, or Water Tower Asset this turn.","When automation fails, procedures matter.","Manual operations can provide resilience when automated systems are unavailable or compromised.",Uncommon,Draft
ICS-WATER-005,ICS-WATER,Network Segmentation,Blue Team,Small Utility,Protocol,Network,3,,2,"Red Team cannot damage more than one Asset with a single Attack.","A wall in the network can become a wall in the attacker's plan.","Segmentation helps limit lateral movement and contain incidents.",Rare,Draft
ICS-WATER-006,ICS-WATER,Restore from Backup,Blue Team,Small Utility,Tool,Infrastructure,3,,,"Return one destroyed Asset to play with 2 Defense.","Recovery is not magic. It is preparation.","Tested backups help restore operations after ransomware, misconfiguration, or destructive events.",Uncommon,Draft
ICS-WATER-007,ICS-WATER,Port Scan,Red Team,Script Kiddie,Attack,Internet,1,1,,"Reveal one Blue Team Asset. If it is Infrastructure, draw 1 card.","The noise starts before the breach.","Reconnaissance often begins with simple scanning to identify exposed services.",Common,Draft
ICS-WATER-008,ICS-WATER,Default Login Attempt,Red Team,Script Kiddie,Attack,Application,1,2,,"If the target Asset is Legacy or Unsupported, deal 2 additional damage.","admin/admin still opens doors.","Default credentials remain a common risk in legacy and poorly managed systems.",Common,Draft
ICS-WATER-009,ICS-WATER,Misconfigured Remote Access,Red Team,Script Kiddie,Attack,Network,2,3,,"If Blue Team has no MFA Protocol active, bypass one Defense card.","Convenience is a doorway when nobody locks it.","Remote access should be protected with MFA, logging, and strict access control.",Uncommon,Draft
ICS-WATER-010,ICS-WATER,Public Exploit,Red Team,Script Kiddie,Attack,Endpoint,2,3,,"Deal 3 damage to one unpatched Asset.","Copied code can still cause real damage.","Public exploit code can be dangerous when exposed systems are not patched.",Common,Draft
ICS-WATER-011,ICS-WATER,Boil Water Notice,Neutral,Scenario,Event,Infrastructure,2,,,"All Blue Team Assets lose 1 Defense this turn. If Incident Commander is active, prevent this effect.","Public trust becomes part of the battlefield.","Cyber incidents in water systems can create operational and public communication pressure.",Rare,Draft
ICS-WATER-012,ICS-WATER,Water Tower Overflow,Neutral,Scenario,Event,Infrastructure,4,,,"Scenario Objective: Red Team wins if Water Tower and Remote Access Pathway are both damaged before turn 6. Blue Team wins if Water Tower survives through turn 6.","The impact is not digital anymore.","ICS/OT tabletop scenarios should connect cyber actions to operational consequences.",Legendary,Draft
ICS-WATER-B013,ICS-WATER,Asset Inventory,Blue Team,Small Utility,Tool,Application,1,,,"Reveal all Blue Team Assets. The next attack against a revealed Asset deals 1 less damage.","You cannot defend what you forgot existed.","Accurate asset inventory is a foundation for ICS/OT security and incident response.",Common,Draft
ICS-WATER-B014,ICS-WATER,MFA Rollout,Blue Team,Small Utility,Protocol,Internet,2,,2,"Remote Access and Credential attacks cost Red Team 1 additional resource.","One extra step can stop one easy breach.","Multi-factor authentication reduces the impact of stolen or guessed credentials.",Uncommon,Draft
ICS-WATER-B015,ICS-WATER,Vendor Access Review,Blue Team,Small Utility,Protocol,Infrastructure,2,,2,"Once per turn, reduce damage from a Remote Access or Vendor attack by 2.","Trust is useful. Review is safer.","Third-party and vendor access should be reviewed, limited, and logged.",Uncommon,Draft
ICS-WATER-B016,ICS-WATER,Patch Window,Blue Team,Small Utility,Defense,Endpoint,2,,3,"Cancel 1 extra damage from attacks targeting Legacy or Unsupported Assets.","Maintenance time is defense time.","Planned patch windows help reduce known exposure while respecting operational uptime.",Common,Draft
ICS-WATER-B017,ICS-WATER,Firewall Rule Update,Blue Team,Small Utility,Defense,Network,2,,3,"Cancel one Recon attack or reduce one Internet attack by 2 damage.","A small rule change can close a big path.","Firewall review and rule hygiene reduce unnecessary external exposure.",Common,Draft
ICS-WATER-B018,ICS-WATER,Alarm Correlation,Blue Team,Small Utility,Protocol,Network,2,,1,"When Red Team plays a Recon card, draw 1 card. Limit once per turn.","Noise becomes useful when signals line up.","Correlating alarms helps defenders turn scattered alerts into actionable response.",Uncommon,Draft
ICS-WATER-B019,ICS-WATER,Local Knowledge,Blue Team,Small Utility,Operator,Infrastructure,1,,2,"Once per game, prevent one Infrastructure Asset from being destroyed.","The map is old. The operator knows the shortcut.","Experienced staff often understand operational dependencies that tools miss.",Rare,Draft
ICS-WATER-B020,ICS-WATER,Mutual Aid Call,Blue Team,Small Utility,Event,Infrastructure,2,,,"Restore 2 Defense to up to two Assets. Costs 1 less if Blue Team controls Community Water Utility.","No utility stands alone in a crisis.","Mutual aid and regional support can improve resilience during incidents.",Uncommon,Draft
ICS-WATER-B021,ICS-WATER,Engineering Workstation Cleanup,Blue Team,Small Utility,Tool,Endpoint,2,,,"Remove one Malware or Persistence effect from an Endpoint Asset.","Clean the foothold before it becomes the outage.","Endpoint cleanup and validation are key parts of containment and recovery.",Common,Draft
ICS-WATER-R013,ICS-WATER,Internet Exposure Search,Red Team,Script Kiddie,Attack,Internet,1,1,,"Reveal one Internet or Infrastructure Asset. If it has cost 2 or less, Red Team draws 1 card.","The open web remembers what the utility forgot.","Attackers often look for exposed services and internet-facing systems before attempting access.",Common,Draft
