deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Small Org Defense,Blue Team,Small Org,1,Well,Asset,Infrastructure,Green,Reinforce,1,,3,"Generates 1 Infrastructure resource each turn. If destroyed, Blue Team loses 1 SCP.","The smallest source can become the most important asset.","Wells are critical physical assets that should be included in cyber and operational risk planning.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Water Tower,Asset,Infrastructure,Green,Reinforce,2,,5,"Scenario Asset: if this survives through turn 6, Blue Team gains 2 SCP.","Public pressure rises when the tower is at risk.","Water storage assets connect cyber events to visible community impact.",Rare,Draft
Small Org Defense,Blue Team,Small Org,1,Pump Station,Asset,Infrastructure,Green,Recover,2,,4,"Once per turn, move 1 Defense from this Asset to another Infrastructure Asset.","Flow control is resilience in motion.","Pump stations are operational choke points and should be protected as critical assets.",Uncommon,Draft
Small Org Defense,Blue Team,Small Org,1,Chlorination Unit,Asset,Infrastructure,Green,Reinforce,2,,4,"If damaged by an Attack, discard 1 card unless Field Technician or Infrastructure Engineer is active.","Safety depends on more than uptime.","Chemical treatment systems require strong monitoring because integrity failures can affect safety.",Rare,Draft
Small Org Defense,Blue Team,Small Org,1,RTU or PLC,Asset,Infrastructure,Green,Reinforce,1,,3,"Protocol cards attached to this Asset cost 1 less to play.","Small controllers carry big consequences.","RTUs and PLCs bridge cyber systems and physical operations in ICS environments.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Gateway,Asset,Network,Black,Detect/Reinforce,1,,3,"The first Internet Attack against this Asset each game deals 1 less damage.","Every path in needs a guardrail.","Gateways and remote access paths should be monitored and hardened.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Operator Laptop,Asset,Endpoint,Red,Respond,1,,2,"If an Operator is active, this Asset gains +1 Defense.","The laptop is small. The access is not.","Operator endpoints often become high-value targets because they touch operational systems.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Basic Firewall,Asset,Network,Black,Reinforce,2,,4,"Internet Attacks cost Red Team 1 additional resource while this Asset is active.","A basic wall is still a wall.","Even simple perimeter controls can reduce opportunistic attacks when configured properly.",Uncommon,Draft
Small Org Defense,Blue Team,Small Org,1,SCADA Web Interface,Asset,Application,White/Grey,Detect,2,,3,"If revealed by Recon, Red Team may draw 1 card unless MFA is active.","A useful dashboard can become a useful target.","Exposed SCADA interfaces increase risk when authentication and access control are weak.",Uncommon,Draft
Small Org Defense,Blue Team,Small Org,1,Password Reset,Defense,Endpoint,Red,Respond/Recover,1,,2,"Cancel one Credential Attack or restore 2 Defense to one Operator or Endpoint Asset.","Regaining control starts with the account.","Account recovery is part of containment when credentials are suspected to be compromised.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,MFA,Defense,Internet,Blue,Reinforce,2,,3,"Cancel the bonus effect of one Credential or Remote Access Attack. Reduce that Attack damage by 1.","One extra step can close an easy door.","MFA helps reduce risk from guessed, reused, or stolen credentials.",Uncommon,Draft
Small Org Defense,Blue Team,Small Org,1,Vendor Support Contract,Defense,Infrastructure,Green,Recover,2,,2,"Restore 2 Defense to one damaged Infrastructure Asset. If Gateway is active, draw 1 card.","Help is valuable when the access is controlled.","Vendor support can aid recovery but should be governed and reviewed.",Uncommon,Draft
Small Org Defense,Blue Team,Small Org,1,Port Closure,Defense,Network,Black,Respond/Reinforce,1,,2,"Cancel one Recon card or reduce one Network Attack by 2 damage.","Closed ports tell fewer stories.","Reducing unnecessary exposed services limits attacker options.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Port Scanner,Tool,Network,Black,Detect,1,,,"Reveal one face-down or unrevealed Red Team card. If it is Recon, draw 1 card.","Defenders can scan too.","Authorized scanning helps validate exposure and find services before attackers do.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Deep Packet ICS Monitor,Tool,Infrastructure,Green,Detect,3,,,"Look at the top 3 Red Team cards. You may discard one Attack or Command card that targets Infrastructure.","The packet tells the story before the process does.","ICS-aware monitoring helps identify suspicious protocol behavior and operational anomalies.",Rare,Draft
Small Org Defense,Blue Team,Small Org,1,Antivirus,Tool,Endpoint,Red,Respond/Recover,1,,,"Remove one Malware or Remote Access Tool effect from an Endpoint Asset or reduce Malware damage by 2.","Basic protection is better than wishful thinking.","Endpoint protection can reduce common malware risk but should not be the only control.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Modbus Protocol,Protocol,Infrastructure,Green,Reinforce,1,,1,"Attach to RTU or PLC. That Asset gains +1 Defense but takes +1 damage from Recon-followed Attacks.","Simple protocols need careful boundaries.","Legacy ICS protocols may lack modern security features and require compensating controls.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Port 23,Protocol,Network,Black,Reinforce,0,,1,"Legacy risk: while active, Remote Terminal Protocol costs 0. Red Team Attacks against this card deal +1 damage.","The old door is still a door.","Legacy services should be removed, restricted, or monitored because they create avoidable exposure.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Remote Terminal Protocol,Protocol,Internet,Blue,Reinforce,0,,1,"Attach to a Legacy Asset. Red Team Credential Attacks against that Asset deal +1 damage.","Convenience aged into risk.","Insecure remote protocols should not be exposed and should be replaced with safer alternatives.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Port 80,Protocol,Network,Black,Reinforce,0,,1,"If attached to SCADA Web Interface, Public Info Gathering or Network Scan reveals that Asset automatically.","Plain access makes plain targets.","Unencrypted or exposed web services can reveal sensitive operational surfaces.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Plain Web Protocol,Protocol,Internet,Blue,Reinforce,0,,1,"Attach to an Application Asset. That Asset costs 1 less to play but takes +1 damage from Internet Attacks.","Easy access has a cost.","Plain web access can create visibility and integrity risks when used for sensitive systems.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,IT Admin,Operator,Network,Black,Respond,2,,3,"Once per turn, reduce Network Attack damage by 1.","Someone has to know where the cables go.","IT administrators support segmentation, account control, and response during incidents.",Uncommon,Draft
